Query,ID,Content
ESRS materiality assessment process,a93c7012-d5ca-458b-8475-c4355117f48d,"that a matter is “not material” or is “material”, additional quantitative information would
not add value to the materiality assessment. As the materiality assessment process evolves
Compilation of Explanations January—July 2024 Page 29 of 166ESRS Implementation Q&A Platform – Compilation of Explanations January – May 2024
over time, the undertaking may redefine the balance between qualitative or quantitative
information.
183. Quantitative information would, however, be of interest where a topic is on the edge of
being material/non-material based on qualitative information and/or where there are
diverse views. In that case, quantification could corroborate the conclusion.’
IG 1 Materiality assessment FAQ 15 Do the ESRS mandate to actively engage in dialogue with
affected stakeholders for the materiality assessment process? states: ‘The ESRS require disclosure
on the materiality assessment and its outcomes but do not mandate specific behaviour on"
ESRS materiality assessment process,3a815dc2-9230-4fc2-803e-7554c89fd2ba,"the need for the undertaking to incur in additional research or data collection costs.
182. Quantitative information is not always available or may result in additional costs.
Whenever a qualitative analysis is sufficient for the undertaking to reasonably conclude
that a matter is “not material” or is “material”, additional quantitative information would
not add value to the materiality assessment. As the materiality assessment process evolves
over time, the undertaking may redefine the balance between qualitative or quantitative
information.
183. Quantitative information would, however, be of interest where a topic is on the edge of
being material/non-material based on qualitative information and/or where there are
diverse views. In that case, quantification could corroborate the conclusion.’
IG 1 Materiality assessment FAQ 15 Do the ESRS mandate to actively engage in dialogue with
affected stakeholders for the materiality assessment process? states: ‘The ESRS require disclosure"
hi,1e20bdc8-189a-40e6-afb1-16e52b827172,"Breakdown Question ID 430 – Definition of Gender
Breakdown of total revenue Question ID 482 – Breakdown of total revenue
– financial institutions
Bribery Question ID 800 – Corruption and Bribery
Business-to-business costumers Question ID 1026 – Definition of end-users
Carbon credit Question ID 536 – Carbon credit – Quality
standard
Chemicals Question ID 905 – Manufacture of
chemicals/pesticides and other agrochemical
products
Chemical spills Question ID 201 – Oil spills – Chemical spills
Consumers and end users Question ID 1026 – Definition of end-users
Financial year different from Question ID 286 - Financial year different
calendar Year from calendar year
Categorisation of the general Question ID 781 – General Meeting
meeting
Climate risk Question ID 555 – Financial effects and
climate risk, Question ID 245 – Climate-risk
analysis
Climate-related targets Question ID 734 – Disclosure of progress in
meeting climate-related targets"
hi,21249141-7b33-4b0f-b3f1-50e37f4d726b,"Incorporation by reference Question ID 1047 – Conditions for
incorporation by reference and content index
Information to employees Question ID 32 – Methodology for presenting
information on employees
Insurance companies Question ID 41 - Financial institutions - scope
of reporting boundary, Question ID 43 - Scope
3 GHG emissions for insurance companies
Intensity-emission target Question ID 531 – Base year
Investment activities Question ID 41 - Financial institutions - scope
of reporting boundary
IPCC Question ID 208 - GHG emission calculation
ISO Question ID 208 - GHG emission calculation
Late payments Question ID 419 - Legal proceedings currently
outstanding for late payments , Question ID
444 - Payment practices
Leave – family related Question ID 341 - Conditions for paternity,
maternity, parental leave
Level of disaggregation Question ID 1297 – Level of disaggregation"
"climate-related impacts, risks and opportunities",2db45ad1-71cd-47a1-b7db-8f9872c2163f,"climate change.
Climate-related opportunity Potential positive effects related to climate change for the undertaking.
Efforts to mitigate and adapt to climate change can produce opportunities
for undertakings. Climate-related opportunities will vary depending on the
region, market, and industry where an undertaking operates.
Climate-related physical risk (Physical Risks resulting from climate change that can be event-driven (acute) or from
risk from climate change) longer-term shifts (chronic) in climate patterns.
Acute physical risks arise from particular hazards, especially weather-
related events such as storms, floods, fires or heatwaves. Chronic physical
risks arise from longer-term changes in the climate, such as temperature
changes, and their effects on rising sea levels, reduced water availability,
biodiversity loss and changes in land and soil productivity.
Climate-related transition risk Risks that arise from the transition to a low-carbon and climate-resilient"
"climate-related impacts, risks and opportunities",dc0db51d-7381-463c-98b2-3ec355cb86ef,"assess climate-related impacts, risks and opportunities. This description shall include its process
in relation to: …
Compilation of Explanations January—November 2024 Page 114 of 278ESRS Implementation Q&A Platform – Compilation of Explanations January – November 2024
(a) climate-related physical risks in own operations and along the upstream and downstream
value chain, in particular: …
ii. the assessment of how its assets and business activities may be exposed and are
sensitive to these climate-related hazards, creating gross physical risks for the
undertaking; …
(c) climate-related transition risks and opportunities in own operations and along the
upstream and downstream value chain, in particular: …
ii. the assessment of how its assets and business activities may be exposed to these
climate-related transition events, creating gross transition risks or opportunities
for the undertaking.’"
"What does the double materiality principle entail, and why is it significant in the context of European Sustainability Reporting Standards (ESRS)?",be02cb34-4fb7-4f7a-a055-a979668fb530,"Appendix B of ESRS 2, it shall explicitly state that the information in question is “not material”.
36. The undertaking shall establish how it applies criteria, including appropriate thresholds, to determine:
(a) the information it discloses on metrics for a material sustainability matter according to the Metrics and Targets
section of the relevant topical ESRS, in accordance with paragraph 34; and
(b) the information to be disclosed as entity-specific disclosures.
3.3 Double materiality
37. Double materiality has two dimensions, namely: impact materiality and financial materiality. Unless specified
otherwise, the terms “material” and “materiality” are used throughout ESRS to refer to double materiality.
38. Impact materiality and financial materiality assessments are inter-related and the interdependencies between these
two dimensions shall be considered. In general, the starting point is the assessment of impacts, although there may"
"What does the double materiality principle entail, and why is it significant in the context of European Sustainability Reporting Standards (ESRS)?",a887ad82-d03a-495b-bf78-d4099c3b5300,"(a) comparability between undertakings, while still ensuring relevance of the information provided, recognising
that comparability may be limited for entity- specific disclosures. The undertaking shall consider whether the
available and relevant frameworks, initiatives, reporting standards and benchmarks (such as technical material
issued by the International Sustainability Standards Board or the Global Reporting Initiative) provide elements
that can support comparability to the maximum extent possible; and
(b) comparability over time: consistency of methodologies and disclosures is a key factor for achieving
comparability over time.
AR 5. Further guidance for developing entity-specific disclosures can be found by considering the information required
under topical ESRS that addresses similar sustainability matters.
Double materiality
Stakeholders and their relevance to the materiality assessment process"
"What is the role of value chain reporting in ESRS, and how does it enhance the materiality assessment process?",d2bbf888-d9a7-4819-9c8e-1d6eac71b5c2,"and opportunities connected with the undertaking through its direct and indirect business
relationships in the upstream and/or downstream value chain (“value chain information”). In
extending the information about the reporting undertaking, the undertaking shall include
material impacts, risks and opportunities connected with its upstream and downstream value
chain:
(a) following the outcome of its due diligence process and of its materiality assessment; and
(b) in accordance with any specific requirements related to the value chain in other ESRS.’
ESRS 1 paragraph 64 states: ‘Different sustainability matters can be material in relation to different
parts of the undertaking’s upstream and downstream value chain.’
ESRS 2 paragraph 75 states: ‘The undertaking shall disclose any metrics that it uses to evaluate
performance and effectiveness in relation to a material impact, risk or opportunity.’
ESRS 2 paragraph 76 states: ‘Metrics shall include those defined in ESRS, as well as metrics"
"What is the role of value chain reporting in ESRS, and how does it enhance the materiality assessment process?",dc77a3ff-a4f6-4e18-848a-d220560dd796,"information from actors in its value chain might not be considered reasonable in
the case of a smaller undertaking with no such prior experience. The technical
readiness of undertakings to collect value chain information is expected to improve
over time.
− The availability of tools to access and share value-chain information. What
constitutes reasonable effort may be influenced by the availability of efficient and
commonly used tools, including digital tools, to share value chain information
between undertakings. The availability of such tools is likely to be limited in the
first years of applying the ESRS but should improve over time, including as a
result of the voluntary SME sustainability reporting standards currently being
developed by EFRAG (VSME). This means that undertakings are more likely to
29have recourse to the use of estimates in the first years of applying the ESRS than
they will do in later reporting cycles."
