Document ID,Metadata,Content
d970d50a-a27b-40c5-9134-c39d85dad45c,"{'paragraph_num': 'ANNEX I to Commission Delegated Regulation (EU) 2023/2772 supplementing Directive', 'type': 'paragraph', 'location_chapter': 'Introduction', 'location_section': '', 'location_subsection': ''}","2013/34/EU of the European Parliament and of the Council as regards sustainability reporting standards, published in the Official Journal of the European Union on 22 December 2023 and including the corrigendum published on 18 April 2024. European sustainability reporting standards (ESRS)"
3e8b35d6-194b-43c1-91a4-529586aa105c,"{'paragraph_num': 'ESRS 1', 'type': 'paragraph', 'location_chapter': 'Introduction', 'location_section': '', 'location_subsection': ''}",General requirements ESRS 2 General disclosures ESRS E1 Climate change ESRS E2 Pollution ESRS E3 Water and marine resources ESRS E4 Biodiversity and ecosystems ESRS E5 Resource use and circular economy ESRS S1 Own workforce ESRS S2 Workers in the value chain ESRS S3 Affected communities ESRS S4 Consumers and end-users ESRS G1 Business conduct
2284836e-ff3d-4338-9ede-a628e87bd73a,"{'type': 'title_chapter', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': ''}",ESRS 1
cfc68cdb-e923-45e8-8464-725cd7be92d5,"{'title_num': '', 'type': 'title_subsection', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': ''}",GENERAL REQUIREMENTS
0b1ea6a3-76be-4b81-bc77-7466f662edf4,"{'title_num': 'TABLE OF CONTENTS', 'type': 'title_subsection', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",
5d340f8d-c1e2-472f-931a-ff8aa45554be,"{'paragraph_num': 'Objective', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",
131a0db5-c8db-4bf1-b7f2-7bd0bd1aca02,"{'paragraph_num': '1.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}","Categories of ESRS Standards, reporting areas and drafting conventions"
84b02150-63e4-41ff-9215-9298614702e1,"{'paragraph_num': '1.1', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Categories of ESRS Standards
99155b18-3ff2-4aad-a3ea-c9c0fa5656fa,"{'paragraph_num': '1.2', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}","Reporting areas and minimum content disclosure requirements on policies, actions, targets and metrics"
4206b358-0b80-4fee-b77d-99961a57e1f1,"{'paragraph_num': '1.3', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Drafting conventions
f0b1bd81-8416-40ce-80c9-83d96f9719b0,"{'paragraph_num': '2.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Qualitative characteristics of information
935c5a93-9d76-41ee-ab91-4be7fd7a34db,"{'paragraph_num': '3.', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Double materiality as the basis for sustainability disclosures
4631ec89-1312-4226-841e-aa6ea64252be,"{'paragraph_num': '3.1', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Stakeholders and their relevance to the materiality assessment process
23205bef-9c6c-4aef-b10b-b94727fa3546,"{'paragraph_num': '3.2', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Material matters and materiality of information
842e5696-c30c-4c78-aa29-a1cabe0261c4,"{'paragraph_num': '3.3', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Double materiality
bd921036-ee06-4763-8b02-5cb3b43508a6,"{'paragraph_num': '3.4', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Impact materiality
9286b9d0-002a-4d01-a359-dac7d9443b9a,"{'paragraph_num': '3.5', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Financial materiality
0f384570-951e-470d-9bff-9c78958fcaf0,"{'paragraph_num': '3.6', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Material impacts or risks arising from actions to address sustainability matters
c84522ed-88a2-45d6-8d62-fe95205a38f5,"{'paragraph_num': '3.7', 'type': 'paragraph', 'location_chapter': 'ESRS 1', 'location_section': '', 'location_subsection': 'TABLE OF CONTENTS'}",Level of disaggregation
