,question,true_answer
1,What is the required methodology for calculating carbon offsets?,"The required methodology for calculating carbon offsets, as outlined in the document, includes the following key principles:
	1.	Recognized Quality Standards: Carbon credits must meet recognized quality standards to ensure their validity .
	2.	Disaggregation of Carbon Credits: The disclosure should specify:
	•	The share of reduction projects vs. removal projects.
	•	Whether removal projects are biogenic or technological.
	•	The percentage of carbon credits from each recognized quality standard.
	•	The share of carbon credits from projects within the EU.
	•	The share qualifying as a corresponding adjustment under Article 6 of the Paris Agreement .
	3.	Avoiding Double Counting:
	•	Carbon credits from GHG emission reduction projects within an entity’s value chain should not be included, as those reductions are already accounted for in Scope 2 or Scope 3 emissions.
	•	Similarly, carbon credits from GHG removal projects within the value chain should not be counted separately .
	4.	Not to Offset GHG Emissions or Reduction Targets:
	•	Carbon credits should not be reported as an offset for an entity’s disclosed GHG emissions (Scope 1, 2, or 3).
	•	Carbon credits should not be used as a means to meet GHG emission reduction targets .
	5.	Calculation of Future Cancellations:
	•	The amount of carbon credits to be canceled in the future must be calculated as the sum of credits in metric tonnes of CO2-equivalent over the duration of existing contractual agreements .
	6.	Internal Carbon Pricing Disclosure:
	•	If an organization uses internal carbon pricing, it must explain how the pricing aligns with financial reporting and decision-making processes .

This methodology ensures transparency, prevents double counting, and aligns with international climate agreements."
2,"If a company has set a Net-Zero target, what disclosures are mandatory?","If a company has set a Net-Zero target, the following disclosures are mandatory:
	1.	Explanation of Scope, Methodologies, and Frameworks
	•	The company must explain how its residual GHG emissions (after approximately 90-95% reduction) will be neutralized.
	•	This should align with a recognized sectoral decarbonization pathway .
	2.	Disclosure of GHG Removals and Storage
	•	The company must report GHG removals and storage from its own operations and value chain.
	•	Disaggregation by removal activity (e.g., biogenic, technological) is required.
	•	Calculation assumptions, methodologies, and frameworks must be disclosed .
	3.	Disclosure of Carbon Credits Used or Planned
	•	If carbon credits are used to support net-zero claims, the company must report:
	•	The total amount of carbon credits in metric tonnes of CO2eq.
	•	Verification against recognized quality standards.
	•	Future planned cancellations and contractual agreements .
	4.	Public Claims on GHG Neutrality
	•	If the company makes public claims of GHG neutrality using carbon credits, it must disclose:
	•	Whether these claims are accompanied by GHG emission reduction targets.
	•	How reliance on carbon credits does not impede actual GHG reductions.
	•	The credibility and integrity of the carbon credits used .
	5.	Internal Carbon Pricing Disclosure (if applicable)
	•	If the company applies internal carbon pricing, it must explain how it supports decision-making.
	•	This includes details about the pricing scheme, scope, and methodology .

These disclosures ensure transparency and accountability in achieving Net-Zero targets."
3,How do we report plastic waste reduction targets?,"To report plastic waste reduction targets, the following disclosures are required:
	1.	Specify Waste Reduction Targets
	•	Companies must disclose their targets related to resource use and circular economy, including those for plastic waste reduction .
	•	The targets should relate to waste management, recycling, and circular economy principles.
	2.	Provide a Clear Description of Targets
	•	Identify whether targets are mandatory (legally required) or voluntary .
	•	Indicate the baseline year and explain any changes if they occur.
	3.	Relate Targets to the Waste Hierarchy
	•	Companies must classify their targets according to the waste hierarchy:
	•	Prevention
	•	Re-use
	•	Recycling
	•	Other recovery (e.g., energy recovery)
	•	Disposal .
	4.	Disclose Waste Reduction Metrics
	•	Report the total weight of plastic waste generated in tonnes or kilogrammes.
	•	Disaggregate data by:
	•	Hazardous vs. non-hazardous waste
	•	Recycled content vs. non-recycled waste
	•	Plastic materials in the waste composition .
	5.	Report Circular Economy Strategies
	•	Companies should disclose efforts to increase product circularity, including:
	•	Eco-design for recyclability, durability, and repairability
	•	Use of secondary materials (recycled plastics)
	•	Extended producer responsibility programs .
	6.	Explain Methodologies and Calculations
	•	The methodology for tracking plastic waste reduction must be disclosed, including:
	•	Whether data is based on direct measurements or estimations
	•	Key assumptions and data sources .
	7.	Provide Financial Impact of Waste Reduction
	•	Companies should disclose anticipated financial effects of waste reduction initiatives, including:
	•	Cost savings from using recycled materials
	•	Revenue from circular economy initiatives .

These reporting guidelines ensure transparency in plastic waste reduction efforts and align with circular economy goals."
4,Are we required to disclose separate data for renewable and non-renewable energy use?,"Yes, companies are required to disclose separate data for renewable and non-renewable energy use. The key disclosure requirements include:
	1.	Total Energy Consumption
	•	Companies must report total energy consumption in megawatt-hours (MWh), broken down into:
	•	Fossil energy sources (coal, oil, natural gas, other fossil sources)
	•	Nuclear energy
	•	Renewable energy (disaggregated further) .
	2.	Disaggregation of Renewable Energy
	•	Renewable energy consumption must be split into categories, including:
	•	Fuel consumption from renewable sources (e.g., biomass, biofuels, biogas, renewable hydrogen)
	•	Purchased or acquired electricity, heat, steam, and cooling from renewable sources
	•	Self-generated non-fuel renewable energy .
	3.	Disaggregation of Fossil Energy (For High-Impact Sectors)
	•	Companies operating in high climate impact sectors must further break down fossil fuel consumption by:
	•	Coal and coal products
	•	Crude oil and petroleum products
	•	Natural gas
	•	Other fossil sources
	•	Purchased electricity, heat, steam, or cooling from fossil sources .
	4.	Separate Reporting for Energy Production
	•	If applicable, companies must disclose separate figures for non-renewable and renewable energy production in MWh .
	5.	Energy Intensity Reporting
	•	Companies in high climate impact sectors must disclose energy intensity (energy consumption per net revenue) .

This disclosure requirement ensures transparency in energy sourcing and aligns with sustainability reporting standards."
5,How do we link financial statements with sustainability disclosures?,"To link financial statements with sustainability disclosures, companies must follow these key principles:
	1.	Describe Connections Between Information
	•	Explain the relationship between governance, strategy, risk management, and financial statements.
	•	Link sustainability strategies to financial impacts, such as costs, investments, or risks .
	2.	Direct Connectivity
	•	When sustainability disclosures contain monetary amounts that exceed materiality thresholds and are also present in the financial statements, companies must reference the corresponding financial statement section .
	3.	Indirect Connectivity
	•	If sustainability data includes aggregated or partial financial figures, companies must explain how these relate to financial statement items, possibly including a reconciliation table .
	4.	Materiality Consistency
	•	Sustainability disclosures should maintain consistency with financial statements regarding significant assumptions, data, and qualitative information.
	•	If inconsistencies arise, companies must explain the differences .
	5.	Cross-Referencing and Incorporation by Reference
	•	Sustainability reports can incorporate financial statement references to avoid duplication and ensure cohesion .
	6.	Financial Impact of Sustainability Risks and Opportunities
	•	Explain how climate risks, resource dependencies, or ESG initiatives affect financial planning, costs, and revenue .

These measures ensure integrated and transparent reporting, helping stakeholders understand the financial implications of sustainability initiatives."
6,"If suppliers refuse to provide ESG data, how should we disclose this?","If suppliers refuse to provide ESG data, companies must disclose the following:
	1.	Explain the Lack of Data
	•	Clearly state that ESG data could not be obtained from certain suppliers despite reasonable efforts .
	2.	Use Estimations and Proxies
	•	If direct data is unavailable, estimate the missing ESG information using:
	•	Sector-average data
	•	Sample analyses
	•	Market and peer group data
	•	Spend-based data .
	•	The company should justify why these estimations were used.
	3.	Disclose Efforts to Obtain Data
	•	Describe the steps taken to engage suppliers, such as:
	•	Requests for data
	•	Supplier training on ESG reporting
	•	Inclusion of ESG requirements in contracts .
	4.	Set Future Plans for Supplier Compliance
	•	If suppliers continue to withhold data, disclose any plans to improve ESG data collection, including:
	•	Setting ESG reporting expectations in future contracts
	•	Conducting audits or verification checks .

This ensures transparency in reporting and compliance with sustainability disclosure regulations."
7,"How detailed must pollution data be (by substance, industry average, or total emissions)?","The required level of detail for pollution data disclosure includes:
	1.	Breakdown by Substance
	•	Companies must disclose emissions of each pollutant listed in Annex II of Regulation (EC) No 166/2006 (European Pollutant Release and Transfer Register - E-PRTR).
	•	This includes emissions to air, water, and soil, excluding GHGs (which are reported separately under ESRS E1) .
	•	Microplastics generated or used by the company must also be disclosed separately .
	2.	Measurement and Quantification
	•	Data should be presented in mass units (tonnes or kilograms) .
	•	If an inferior methodology (e.g., estimation) is used instead of direct measurement, the company must justify its choice and disclose any assumptions .
	3.	Sector or Facility-Level Breakdown
	•	Pollution data should be provided at the company level, but companies may also disclose:
	•	Site-level emissions
	•	Sector-based breakdown
	•	Geographical region-based data .
	•	Companies must also report emissions from facilities exceeding the thresholds specified in Annex II of Regulation (EC) No 166/2006 .
	4.	Contextual and Comparative Information
	•	Reports should include historical trends, measurement methodologies, and data collection processes .
	•	Companies may also disclose local air quality indices (AQI), urbanization levels, and emissions occurring in high-water stress areas .

Conclusion:

Pollution data must be substance-specific, measured in mass units, and broken down by site, sector, or geographical area when relevant. Companies must explain estimation methods and provide historical trends to enhance transparency."
8,Are contractors and freelancers included in workforce reporting?,"Yes, contractors and freelancers (self-employed individuals) are included in workforce reporting under ESRS S1. The reporting requirements include:
	1.	Classification as Part of Own Workforce
	•	Contractors (self-employed people) and workers provided by third parties engaged in “employment activities” (NACE Code N78) are considered part of the company’s own workforce .
	•	This includes individuals:
	•	Hired to perform work that would otherwise be done by an employee.
	•	Working in public areas (e.g., construction, roadwork).
	•	Providing services at client workplaces under company direction .
	2.	Mandatory Disclosure of Non-Employees
	•	Companies must report the number of non-employees in their own workforce, distinguishing between:
	•	Self-employed individuals (freelancers, independent contractors).
	•	Workers from third-party employment agencies .
	•	If exact figures are unavailable, companies must use estimates and disclose the methodology .
	3.	Fluctuation Reporting
	•	Companies must disclose changes in contractor and freelancer numbers over time, explaining seasonal or project-based variations .
	4.	Workers in the Value Chain vs. Own Workforce
	•	Employees of suppliers or subcontractors working under their employer’s methods are not part of the company’s own workforce and should be reported under ESRS S2 (Workers in the Value Chain) .

Conclusion

Yes, contractors and freelancers must be reported separately from employees but are included in workforce disclosures if they work under the company’s direction. If data is unavailable, estimates must be used."
9,What level of detail is required for executive pay linked to ESG performance?,"The required level of detail for disclosing executive pay linked to ESG performance includes:
	1.	Description of ESG-Linked Incentives
	•	Companies must disclose whether executive pay is tied to sustainability-related targets.
	•	This includes:
	•	The specific ESG criteria used (e.g., emission reductions, diversity targets, governance improvements).
	•	The weight or proportion of total compensation that depends on ESG performance .
	2.	Performance Assessment and Metrics
	•	Companies must clarify:
	•	How ESG performance is measured and whether benchmarks or industry standards are used.
	•	Whether quantitative (measurable) or qualitative (subjective) performance reviews are applied.
	•	The time horizon for achieving ESG targets (e.g., short-term vs. long-term incentives) .
	3.	Integration with Variable Pay
	•	Disclosures must include:
	•	The proportion of total executive variable pay tied to ESG factors.
	•	How ESG factors impact bonuses, stock options, or long-term incentives .
	4.	Approval and Oversight
	•	Companies must disclose:
	•	Who sets and approves ESG-linked pay policies (e.g., the board, compensation committee).
	•	Whether executive pay reviews are conducted to ensure fairness and alignment with ESG goals .

Conclusion:

Executive pay disclosures must provide specific ESG criteria, performance assessment methods, integration with variable pay, and governance oversight. These details ensure transparency in aligning executive incentives with sustainability goals."
10,What risk assessment methods are required for ESG financial disclosures?,"The required risk assessment methods for ESG financial disclosures include:
	1.	Identification of Material Risks and Opportunities
	•	Companies must describe how they identify and assess material ESG risks and opportunities.
	•	This includes the processes, methodologies, and assumptions applied .
	2.	Risk Categorization
	•	Companies must classify risks into physical, transition, and systemic risks:
	•	Physical risks: Acute risks (e.g., climate disasters) and chronic risks (e.g., resource scarcity).
	•	Transition risks: Policy/legal, technology, market, and reputational risks.
	•	Systemic risks: Ecosystem collapse, aggregated risks across sectors, and contagion risks .
	3.	Quantification of Financial Effects
	•	Companies must estimate the monetary impact of ESG risks and opportunities over short-, medium-, and long-term horizons.
	•	If exact quantification is not feasible, qualitative descriptions must be provided .
	4.	Scenario Analysis and Sensitivity Testing
	•	Companies should use scenario analysis to assess the resilience of their financial performance under different ESG risk scenarios.
	•	Assumptions, calculation methodologies, and limitations must be disclosed .
	5.	Integration with Financial Statements
	•	Companies must align their ESG risk assessments with financial reporting, ensuring consistency in carbon pricing, asset impairment, and liability projections .
	•	If discrepancies exist, an explanation must be provided .
	6.	Use of Standardized Metrics
	•	ESG risk reporting should be based on recognized methodologies, such as:
	•	EU Environmental Footprint methods for impact assessment.
	•	Material Flow Analysis (MFA) for resource dependencies .

Conclusion

Companies must identify, categorize, and quantify ESG risks using scenario analysis and financial modeling. These risks should be linked to financial statements and explained transparently."
