Question,Answer
Can I do electronic reporting for EU tax?,"Yes, you can do electronic reporting for EU tax. The European Union has established a common template and electronic reporting formats for reports on income tax information, which are machine-readable and based on the Inline XBRL standard. This allows for the automated consumption of large amounts of information, ensuring the accessibility and comparability of data.

Sources: pretext_6, pretext_3, art_2"
Which reporting format is required for EU tax documents under this regulation?,"The required reporting format for EU tax documents under this regulation is XHTML (Extensible Hypertext Markup Language) and Inline XBRL (eXtensible Business Reporting Language). 

Sources: art_4, pretext_5, art_2"
At what revenue threshold does an undertaking need to report income tax information?,"The revenue threshold at which an undertaking needs to report income tax information is EUR 750,000,000. 

This threshold applies to the consolidated revenue on the balance sheet date for two consecutive financial years. Undertakings that exceed this threshold are required to draw up, publish, and make accessible a report on income tax information.

Sources: pretext_1"
Is it mandatory to report the activities of branches that are not subsidiary undertakings,"No, it is not mandatory to report the activities of branches that are not subsidiary undertakings. According to the source 'ANNEX1_SECTION3', establishments, fixed places of business or permanent business activities other than those operating via a subsidiary undertaking need not be disclosed. 

Sources: ANNEX1_SECTION3"
How should negative income tax accrued be reported?,"Negative income tax accrued should be reported with negative amounts. 

Sources: ANNEX1_SECTION2"
Can I use the template in Regulation (EU) 2024/2952 to file my company’s income tax report?,"Yes, you can use the template in Regulation (EU) 2024/2952 to file your company's income tax report, but only if your company is required to report on income tax information for financial years starting on or after 1 January 2025, as stated in Article 5 of the Regulation. 

Additionally, the template is mandatory for certain medium-sized and large undertakings, but not for subsidiaries that are controlled by an ultimate parent undertaking not governed by the law of a Member State, as mentioned in pretext_10.

Sources: art_5, pretext_10"
Do I need to disclose information for my US-based subsidiary?,"The answer depends on the specific circumstances of your company and its subsidiaries. To determine if you need to disclose information for your US-based subsidiary, can you specify whether the ultimate parent undertaking is governed by the law of a Member State and if the consolidated revenue exceeded EUR 750,000,000 for each of the last two consecutive financial years? Additionally, is the US-based subsidiary a qualifying subsidiary with at least 10% of its shares held by the parent company?

Sources: pretext_10, Qualifying shareholding"
"If I work in the UK, am I subject to EU tax rules?","The answer depends on the specific circumstances of your work and the tax rules in question. 

Since the UK withdrew from the European Union on 31 January 2020, it is no longer subject to EU tax rules in the same way as EU member states. However, the UK and EU have agreed on a Trade and Cooperation Agreement (TCA) that includes provisions on taxation, such as tax transparency and cooperation on tax matters.

If you work in the UK, you will be subject to UK tax rules, but you may still be affected by EU tax rules if, for example, you work for a company that operates in the EU or if you have income from EU sources. Can you specify your situation, such as the type of work you do, whether you have any connections to EU countries, or whether you have income from EU sources? 

Sources: Brexit, The Trade and Cooperation Agreement (TCA)"
What will be the German corporate tax rate in 2026?,"The answer depends on the specific conditions and regulations applicable in 2026. 

Can you specify whether you are referring to the general corporate tax rate or the minimum effective tax rate as per the Minimum Taxation Directive? Additionally, are there any other factors that could influence the corporate tax rate in Germany, such as the implementation of the Business in Europe: Framework for Income Taxation (BEFIT) proposal or other regulatory changes? 

Sources: 3.6. Minimum Taxation Directive, 3.8. Business in Europe: Framework for Income Taxation (BEFIT)"
What are the expected audit timelines for small enterprises in Hungary?,"The answer is not covered by the sources. 

The sources provided primarily focus on EU tax reporting regulations, directives, and initiatives related to corporate taxation, without specifically addressing audit timelines for small enterprises in Hungary. To determine the expected audit timelines for small enterprises in Hungary, it would be necessary to consult Hungarian national regulations or sources specific to Hungarian accounting and auditing standards."
