label,content,type,location_chapter,location_section,location_subsection,location_subsection_title,pre_para_note,title_num,paragraph_num
Introduction - ANNEX I to Commission Delegated Regulation (EU) 2023/2772 supplementing Directiv,"2013/34/EU of the European Parliament and of the Council as regards sustainability reporting standards, published in the Official Journal of the European Union on 22 December 2023 and including the corrigendum published on 18 April 2024. European sustainability reporting standards (ESRS)",paragraph,Introduction,,,,,,ANNEX I to Commission Delegated Regulation (EU) 2023/2772 supplementing Directive
Introduction - ESRS ,General requirements ESRS 2 General disclosures ESRS E1 Climate change ESRS E2 Pollution ESRS E3 Water and marine resources ESRS E4 Biodiversity and ecosystems ESRS E5 Resource use and circular economy ESRS S1 Own workforce ESRS S2 Workers in the value chain ESRS S3 Affected communities ESRS S4 Consumers and end-users ESRS G1 Business conduct,paragraph,Introduction,,,,,,ESRS 1
ESRS 1,ESRS 1,title_chapter,ESRS 1,,,,,,
ESRS 1()(),GENERAL REQUIREMENTS,title_subsection,ESRS 1,,,GENERAL REQUIREMENTS,,,
ESRS 1()(TABLE OF CONTEN),,title_subsection,ESRS 1,,TABLE OF CONTENTS,,,TABLE OF CONTENTS,
ESRS 1()(),Objective,title_subsection,ESRS 1,,,Objective,,,
ESRS 1 - 1,"The objective of European Sustainability  Reporting Standards (ESRS) is to specify the sustainability information  that an undertaking shall disclose in accordance with  Directive 2013/34/EU of the European Parliament and of the  Council ( 1 ) , as amended by Directive (EU) 2022/2464 of the European Parliament and of the Council. ( 2 ) Reporting in accordance with ESRS does not exempt undertakings from other obligations laid down in Union law.",paragraph,ESRS 1,,,Objective,,,1.
ESRS 1 - 2,"Specifically, ESRS specify the information that an undertaking shall disclose about its material impacts , risks and opportunities in relation to environmental, social, and governance sustainability matters. ESRS do not require undertakings to  disclose any information on environmental, social and governance topics  covered by ESRS when the undertaking has assessed the topic in question  as non-material (See Appendix E of this Standard “ Flowchart for determining disclosures to be included ”).The information disclosed in accordance with ESRS enables users of the sustainability statement to understand the undertaking’s  material impacts on people and environment and the material effects of  sustainability matters on the undertaking’s development, performance and  position.",paragraph,ESRS 1,,,Objective,,,2.
ESRS 1 - 3,"The objective of this Standard (ESRS 1) is  to provide an understanding of the architecture of ESRS, the drafting  conventions and fundamental concepts used, and the general requirements  for preparing and presenting sustainability information in accordance  with Directive 2013/34/EU, as amended by Directive  (EU) 2022/2464.",paragraph,ESRS 1,,,Objective,,,3.
ESRS 1(1.),"Categories of ESRS Standards, reporting areas and drafting conventions",title_section,ESRS 1,1.,,,,1.,
ESRS 1(1.)(1),Categories of ESRS standards,title_subsection,ESRS 1,1.,1.1,Categories of ESRS standards,,1.1,
ESRS 1 - 4,"There are three categories of ESRS: (a) cross-cutting standards; (b) topical standards (Environmental, Social and Governance standards); and (c) sector-specific standards. Cross-cutting standards and  topical standards are sector-agnostic, meaning that they apply to all  undertakings regardless of which sector or sectors the undertaking  operates in.",paragraph,ESRS 1,1.,1.1,Categories of ESRS standards,,,4.
